,percent_monthly_change,percent_yearly_change,percent_change_week,52weekHigh,52weekLow,percent_ADR/GDR,percent_div_yeild,eps_ttm,FIIs,FV,percent_foreign_collaborators,percent_freefloat,percent_indian_promoters,percent_indian_inst_mutual_funds,market_cap,num_of_shares,P/CF,P/E,percent_pledged_promoter_holding,price,sector,shareholders,volume,incorporate_year,cluster
JBCH,0.124,1.186,0.055999999999999994,820.3,321.7,0.0,0.2,31.6,0.039,2.0,0.003,0.37,0.5539999999999999,0.034,69536000000.0,84800000.0,35.5,25.9,0.0,820.0,35.0,30437.0,1600.0,1976.0,5
JBFI,0.059000000000000004,0.493,0.087,22.1,6.4,0.0,0.0,-55.9,0.162,10.0,0.0,0.253,0.539,0.046,742000000.0,72700000.0,-0.1,-0.2,0.0,10.2,47.0,28216.0,1500.0,1982.0,14
JCLD,0.061,0.355,0.069,121.9,42.7,0.0,0.5,1.1,0.073,1.0,0.0,0.17800000000000002,0.73,0.019,17488000000.0,178450000.0,-20.8,92.2,0.0,98.0,43.0,78365.0,3500.0,1985.0,14
JET,-0.047,-0.191,-0.015,50.3,13.0,0.0,0.0,-373.6,0.032,10.0,0.51,0.41200000000000003,0.0,0.047,3323000000.0,113590000.0,-3.2,-0.1,0.0,29.3,0.0,131315.0,3700.0,1992.0,14
JFWL,0.214,0.778,0.11,2136.9,1141.8,0.0,0.5,41.7,0.462,10.0,0.006999999999999999,0.028999999999999998,0.489,0.013000000000000001,138180000000.0,65980000.00000001,29.1,50.2,0.17800000000000002,2094.2,5.0,14431.0,5300.0,1995.0,6
JISPL,0.34600000000000003,1.23,0.009000000000000001,238.4,62.1,0.0,0.0,-4.3,0.22399999999999998,1.0,0.08,0.124,0.525,0.048,210898000000.0,934830000.0,3.5,-52.8,0.11599999999999999,225.6,43.0,135237.0,28400.0,1900.0,6
JKBK,0.084,-0.494,0.062,42.8,11.1,0.0,0.0,-23.5,0.293,1.0,0.0,0.133,0.532,0.043,8751000000.0,484800000.0,0.4,-0.8,0.0,18.1,4.0,56111.0,3400.0,1938.0,14
JKCE,-0.002,0.46799999999999997,-0.0,1613.0,800.0,0.0,0.7,57.3,0.128,10.0,0.0,0.114,0.669,0.08900000000000001,104835000000.0,69930000.0,20.8,26.2,0.0,1499.2,7.0,85461.0,100.0,1994.0,5
JKCO,0.017,-0.11800000000000001,0.055,389.4,179.8,0.0,0.3,20.4,0.122,5.0,0.0,0.23800000000000002,0.45899999999999996,0.18100000000000002,33501000000.0,117670000.0,13.3,13.9,0.0,284.7,7.0,79843.0,100.0,1938.0,5
JKID,-0.073,0.085,-0.013000000000000001,87.7,31.5,0.0,2.5,6.6,0.034,2.0,0.0,0.435,0.473,0.057,13654000000.0,226810000.0,3.8,9.2,0.0,60.2,48.0,34396.0,700.0,1951.0,14
JKIL,0.33799999999999997,0.004,0.192,179.8,65.2,0.0,4.4,65.1,0.179,10.0,0.0,0.207,0.51,0.10400000000000001,3858000000.0,32229999.999999996,1.4,1.8,0.243,119.7,12.0,6073.0,1400.0,0.0,14
JLDR,0.125,0.248,0.042,127.6,41.0,0.0,0.6,9.0,0.001,5.0,0.0,0.36200000000000004,0.637,0.0,2250000000.0,28980000.0,4.6,8.6,0.0,77.7,6.0,11658.0,0.0,1983.0,14
JLPH,0.078,-0.045,-0.006999999999999999,18.3,7.6,0.0,0.0,0.3,0.0,10.0,0.0,0.273,0.727,0.0,142000000.0,10260000.0,41.6,52.4,0.0,13.8,36.0,23678.0,1500.0,1986.0,14
JLSP,0.266,-0.11900000000000001,0.212,967.4,411.0,0.0,0.0,57.1,0.042,10.0,0.002,0.396,0.5539999999999999,0.006,4235000000.0,5140000.0,49.9,14.4,0.0,824.0,30.0,23884.0,0.0,1970.0,14
JLVY,0.391,0.331,0.057999999999999996,296.7,132.5,0.0,1.4,-5.1,0.214,10.0,0.024,0.369,0.36200000000000004,0.032,689144000000.0,2417200000.0,5.9,-55.4,0.391,285.1,43.0,827548.0,10600.0,1994.0,2
JMSS,0.066,0.147,-0.004,126.0,55.5,0.0,1.2,9.4,0.0,1.0,0.207,0.379,0.0,0.038,69396000000.0,841170000.0,6.1,8.8,0.0,82.5,24.0,54056.0,700.0,1973.0,5
JNIR,0.195,-0.348,0.12,24.2,3.1,0.0,8.7,-7.7,0.033,2.0,0.0,0.659,0.304,0.005,5703000000.0,443120000.0,1.0,-1.7,0.361,12.9,6.0,54175.0,70200.0,1988.0,14
JNST,0.34299999999999997,0.6940000000000001,0.07,53.0,22.3,0.08199999999999999,0.0,6.8,0.201,2.0,0.214,0.179,0.245,0.08,11489000000.0,226380000.0,1.8,7.5,0.595,50.8,43.0,47985.0,100.0,1970.0,14
JPAS,0.431,0.981,0.005,4.8,1.1,0.0,0.0,-3.7,0.309,2.0,0.0,0.161,0.451,0.079,10022000000.0,2432460000.0,-0.5,-1.1,0.012,4.1,12.0,557885.0,168100.0,1983.0,14
JPHY,0.52,0.89,0.062,3.4,0.5,0.0,0.0,-12.5,0.071,10.0,0.0,0.247,0.636,0.046,9108000000.0,2938000000.0,-1.0,-0.2,0.9520000000000001,3.1,38.0,336537.0,985300.0,1994.0,14
JSWE,0.27,-0.14400000000000002,0.009000000000000001,80.0,34.8,0.0,0.0,6.8,0.039,10.0,0.0,0.14800000000000002,0.75,0.064,94877000000.0,1640050000.0,8.6,8.5,0.475,57.9,38.0,139666.0,8100.0,1994.0,5
JSWH,0.28600000000000003,-0.094,0.21899999999999997,3000.0,1259.0,0.0,0.0,78.7,0.078,10.0,0.0,0.308,0.609,0.005,27189000000.0,11100000.0,39.9,31.1,0.0,2449.7,30.0,29821.0,0.0,2001.0,14
JUBOL,0.135,1.111,0.045,909.8,230.0,0.0,0.5,56.4,0.212,1.0,0.035,0.21100000000000002,0.456,0.087,136113000000.0,159280000.0,14.4,15.2,0.159,854.6,35.0,23815.0,2800.0,1978.0,6
JYLB,0.201,-0.001,0.048,185.0,86.2,0.0,4.1,9.5,0.145,1.0,0.0,0.10300000000000001,0.6679999999999999,0.084,26854000000.0,181020000.0,11.8,15.6,0.36700000000000005,148.4,14.0,84983.0,0.0,2000.0,14
JYSWN,-0.087,-0.268,-0.054000000000000006,5.1,1.9,0.0,0.0,-12.9,0.0,10.0,0.0,0.29,0.688,0.022000000000000002,1884000000.0,638630000.0,-1.1,-0.2,0.12,3.0,6.0,41592.0,10300.0,1972.0,14
JYTST,-0.131,0.0,-0.043,3.5,1.4,0.0,0.0,-415.5,0.017,2.0,0.0,0.514,0.271,0.19899999999999998,238000000.0,105680000.0,-0.0,-0.0,0.6809999999999999,2.3,6.0,40562.0,195600.0,1980.0,14
KACH,0.204,0.015,0.138,51.8,22.0,0.0,1.8,-0.2,0.0,5.0,0.0,0.23399999999999999,0.7440000000000001,0.021,1815000000.0,43690000.0,6.1,-193.1,0.0,41.6,9.0,11560.0,0.0,1960.0,14
KAPW,0.083,-0.408,0.11599999999999999,515.0,170.0,0.0,1.1,30.2,0.096,2.0,0.002,0.084,0.593,0.226,42125000000.0,153460000.0,5.9,9.1,0.293,274.5,6.0,21177.0,200.0,1981.0,5
KARUR,0.20199999999999999,-0.386,0.01,65.0,18.2,0.0,0.4,3.9,0.251,10.0,0.0,0.594,0.03,0.124,22149000000.0,609320000.0,1.3,9.4,0.087,36.4,4.0,74641.0,800.0,1916.0,14
KARUT,-0.133,-0.071,-0.049,0.6,0.2,0.013000000000000001,0.0,0.4,0.158,1.0,0.0,0.772,0.055,0.002,316000000.0,809730000.0,0.4,1.0,0.22399999999999998,0.4,14.0,70503.0,181900.0,1995.0,14
KBANK,0.10099999999999999,-0.3,0.14400000000000002,75.3,34.2,0.0,6.1,15.3,0.1,10.0,0.0,0.6890000000000001,0.0,0.21100000000000002,13819000000.0,282610000.0,0.8,3.2,0.0,48.9,4.0,123252.0,26800.0,1924.0,14
KECI,0.221,0.294,0.028999999999999998,358.3,154.5,0.0,0.8,21.3,0.049,2.0,0.0,0.15,0.5,0.302,83146000000.0,257100000.00000003,13.8,15.2,0.0,323.4,6.0,66522.0,800.0,1994.0,5
KEIN,0.10400000000000001,-0.14800000000000002,0.033,614.7,208.4,0.0,0.3,31.8,0.013000000000000001,2.0,0.0,0.49200000000000005,0.494,0.001,31027000000.0,77240000.0,17.5,12.6,0.0,401.7,38.0,22324.0,700.0,1968.0,5
KESO,0.271,-0.16,0.057,74.1,17.1,0.064,0.0,-15.0,0.042,10.0,0.0,0.35200000000000004,0.48200000000000004,0.059000000000000004,4896000000.0,109770000.0,-2.3,-3.0,0.0,44.6,15.0,77788.0,1800.0,1919.0,14
KHRB,0.155,0.337,0.002,339.6,91.3,0.0,0.9,23.7,0.053,1.0,0.0,0.36,0.5870000000000001,0.0,68746000000.0,235390000.0,12.1,12.3,0.0,292.1,5.0,19338.0,300.0,1993.0,5
KJCR,0.192,-0.012,0.182,605.8,295.4,0.0,0.6,10.7,0.255,2.0,0.0,0.184,0.521,0.039,76598000000.0,158950000.0,24.1,45.0,0.0,481.9,8.0,12593.0,1400.0,1985.0,5
KKCL,0.134,-0.179,0.066,1088.0,572.2,0.0,3.9,40.6,0.111,10.0,0.0,0.055,0.742,0.092,10061000000.0,12330000.0,12.7,20.1,0.0,816.0,40.0,4068.0,0.0,0.0,14
KLBR,0.043,-0.115,-0.002,181.0,76.0,0.0,1.9,10.0,0.08,2.0,0.0,0.195,0.633,0.091,10315000000.0,79380000.0,17.6,13.0,0.0,130.0,6.0,15591.0,100.0,1920.0,14
KLOE,0.042,-0.037000000000000005,0.031,799.8,355.0,0.0,0.3,3.6,0.098,2.0,0.0,0.128,0.726,0.048,91489000000.0,137650000.0,60.1,187.1,0.0,664.7,6.0,22818.0,3000.0,1946.0,5
KNOL,0.12,0.8420000000000001,0.017,18569.0,8856.7,0.0,0.4,308.9,0.001,10.0,0.75,0.171,0.0,0.079,360506000000.0,21250000.0,77.2,54.9,0.0,16965.0,35.0,18270.0,1400.0,1944.0,10
KOLTE,0.248,-0.214,0.04,288.0,103.1,0.0,0.8,13.2,0.083,10.0,0.0,0.16899999999999998,0.745,0.003,13631000000.0,75770000.0,11.9,13.7,0.0,179.9,12.0,45265.0,9100.0,1991.0,14
KOPD,0.068,0.158,0.042,104.7,29.1,0.0,1.5,10.4,0.0,10.0,0.0,0.25,0.75,0.0,1963000000.0,29690000.0,1.6,6.4,0.0,66.1,30.0,7011.0,1200.0,1984.0,14
KOTAK,0.038,-0.07400000000000001,0.054000000000000006,1740.0,1000.4,0.002,0.1,46.5,0.317,5.0,0.0,0.22699999999999998,0.436,0.019,2574040000000.0,1837290000.0,9.8,30.1,0.0,1401.0,4.0,64886.0,5400.0,1985.0,12
KPIT,0.664,1.6440000000000001,0.16,187.6,47.6,0.0,1.3,11.4,0.377,2.0,0.0,0.324,0.222,0.077,34365000000.0,197500000.0,9.9,15.3,0.09699999999999999,174.0,42.0,36678.0,6400.0,1990.0,5
KSBP,0.019,-0.11199999999999999,0.009000000000000001,764.5,386.4,0.0,1.1,26.6,0.026000000000000002,10.0,0.405,0.165,0.259,0.145,18432000000.0,34810000.0,17.2,19.9,0.0,529.5,6.0,10539.0,0.0,1960.0,14
KSCL,0.038,0.303,0.002,682.0,274.2,0.0,0.5,37.7,0.18899999999999997,2.0,0.0,0.141,0.5760000000000001,0.09300000000000001,41722000000.0,68900000.0,17.6,16.1,0.0,605.6,5.0,12876.0,100.0,1986.0,5
KTWSC,0.039,-0.046,0.004,26.7,7.7,0.0,6.4,0.1,0.062,10.0,0.0,0.42200000000000004,0.45299999999999996,0.063,628000000.0,40100000.0,3.1,278.9,0.0,15.7,22.0,7200.0,19300.0,1990.0,14
KWDR,-0.062,0.429,-0.045,6.0,1.3,0.0,3.4,-137.6,0.092,1.0,0.0,0.632,0.368,0.0,700000000.0,218730000.0,0.3,-0.0,0.912,3.2,5.0,21556.0,200.0,1992.0,14
KXGN,-0.031,0.495,0.062,171.0,72.0,0.0,1.4,17.1,0.024,1.0,0.0,0.43200000000000005,0.542,0.002,7316000000.0,66510000.00000001,6.7,6.4,0.233,110.0,30.0,16171.0,1200.0,1992.0,14
KYST,0.066,0.293,0.027999999999999997,268.7,92.4,0.0,2.2,35.5,0.004,5.0,0.0,0.39899999999999997,0.599,0.003,10029000000.0,43650000.0,5.9,6.5,0.0,229.8,43.0,38960.0,800.0,1973.0,14
LAMH,0.17600000000000002,-0.10800000000000001,0.10099999999999999,3980.0,2001.0,0.0,0.9,36.4,0.019,10.0,0.0,0.467,0.284,0.231,41452000000.0,12370000.0,17.2,92.1,0.0,3351.0,6.0,24458.0,100.0,1962.0,5
LART,0.10300000000000001,-0.252,-0.003,1554.1,661.1,0.023,1.8,64.0,0.196,2.0,0.0,0.415,0.0,0.365,1395302000000.0,1398730000.0,11.0,15.6,0.0,997.6,6.0,802712.0,7600.0,1946.0,1
LCPP,0.129,0.038,0.17300000000000001,247.9,115.2,0.0,1.6,12.2,0.0,10.0,0.0,0.396,0.604,0.0,2810000000.0,14790000.0,11.6,15.5,0.0,190.0,14.0,6688.0,400.0,1994.0,14
LEELA,0.22899999999999998,-0.14400000000000002,0.125,9.9,2.9,0.0,0.0,3.9,0.005,2.0,0.0,0.303,0.639,0.053,2725000000.0,466610000.0,-9.7,1.5,0.8859999999999999,5.8,22.0,111944.0,10100.0,1982.0,14
LICHF,0.075,-0.321,0.09699999999999999,486.4,186.0,0.006,2.3,47.6,0.38,2.0,0.0,0.142,0.40299999999999997,0.07,147815000000.0,504660000.0,5.6,6.1,0.0,292.9,24.0,159214.0,196500.0,1989.0,6
LNTFH,0.107,-0.294,0.040999999999999995,134.0,46.0,0.0,1.7,13.0,0.052000000000000005,10.0,0.0,0.192,0.75,0.006999999999999999,116464000000.0,1720290000.0,1.9,5.2,0.0,67.7,24.0,464590.0,23000.0,2008.0,6
LOGIX,0.425,0.252,0.017,38.8,11.4,0.0,0.0,6.7,0.022000000000000002,10.0,0.0,0.736,0.242,0.0,399000000.0,12250000.0,2.2,4.9,0.0,32.6,42.0,6973.0,14400.0,1995.0,14
LOVAL,0.32,0.092,0.045,87.4,34.0,0.0,0.6,-0.2,0.129,10.0,0.009000000000000001,0.17600000000000002,0.6629999999999999,0.023,1142000000.0,16800000.0,45.7,-352.6,0.0,68.0,47.0,15622.0,1600.0,1987.0,14
LTI,0.027999999999999997,0.456,-0.040999999999999995,2530.0,1207.6,0.0,1.2,87.4,0.0,1.0,0.0,0.254,0.746,0.0,407288000000.0,174030000.0,24.5,26.8,0.0,2340.4,42.0,133512.0,200.0,1996.0,10
LUPL,0.165,0.332,-0.008,1034.6,505.0,0.0,0.0,-11.1,0.319,2.0,0.002,0.10099999999999999,0.466,0.113,450497000000.0,452650000.0,26.6,-90.0,0.0,995.3,35.0,98259.0,34000.0,1983.0,10
MACM,0.354,-0.20600000000000002,-0.11199999999999999,612.0,156.0,0.0,3.1,32.1,0.001,10.0,0.0,0.249,0.75,0.001,7196000000.0,18620000.0,9.2,12.0,0.0,386.5,27.0,7188.0,600.0,1969.0,14
MAHM,0.012,0.113,-0.028999999999999998,648.6,245.8,0.05,1.2,-7.0,0.369,5.0,0.001,0.16899999999999998,0.252,0.159,752329000000.0,1242180000.0,8.7,-86.4,0.077,605.7,3.0,167076.0,7400.0,1945.0,2
MAND,0.405,0.6459999999999999,0.10099999999999999,68.5,31.0,0.0,2.2,9.0,0.061,5.0,0.031,0.37,0.512,0.025,3923000000.0,59800000.0,3.7,7.3,0.718,65.6,6.0,19692.0,1100.0,1972.0,14
MARUTI,0.188,0.14,0.053,7755.0,4002.0,0.0,1.1,131.3,0.22,5.0,0.562,0.078,0.0,0.14,2153830000000.0,302080000.0,20.2,54.3,0.0,7130.0,3.0,100212.0,1800.0,1980.0,4
MASM,0.14800000000000002,-0.312,0.205,447.4,185.0,0.0,2.2,34.2,0.122,5.0,0.0,0.225,0.585,0.069,18017000000.0,70530000.0,6.5,7.5,0.0,255.5,43.0,24747.0,500.0,1988.0,14
MAST,0.514,1.222,0.037000000000000005,757.5,170.1,0.0,0.7,50.4,0.149,5.0,0.0,0.259,0.519,0.073,19347000000.0,27030000.0,21.8,14.2,0.0,715.8,42.0,16317.0,400.0,1982.0,14
MAXL,0.059000000000000004,0.327,0.14300000000000002,611.1,279.8,0.0,0.0,-0.6,0.27399999999999997,2.0,0.0,0.087,0.405,0.23399999999999999,158615000000.0,266490000.0,1726.0,-992.6,0.628,595.2,15.0,33801.0,88000.0,1982.0,6
MCDL,-0.025,-0.012,-0.003,743.0,443.0,0.003,0.0,43.9,0.45799999999999996,10.0,0.0,0.20199999999999999,0.275,0.062,84851000000.0,145330000.0,9.4,13.3,0.038,583.9,5.0,89114.0,1400.0,1898.0,5
MCRL,1.1540000000000001,1.168,0.337,22.7,1.8,0.0,2.1,-21.1,0.308,10.0,0.247,0.13699999999999998,0.209,0.098,2603000000.0,109460000.0,0.8,-1.1,0.11699999999999999,23.8,5.0,56639.0,211200.0,1998.0,14
MDCM,0.05,-0.02,0.078,883.3,456.5,0.0,0.4,25.3,0.203,1.0,0.0,0.20199999999999999,0.423,0.171,172003000000.0,238000000.0,21.3,28.6,0.036000000000000004,722.7,7.0,21021.0,900.0,1957.0,6
MDPL,0.38,0.003,0.053,322.0,145.8,0.0,1.3,13.5,0.038,5.0,0.0,0.449,0.33899999999999997,0.175,8307000000.0,27690000.0,17.3,22.1,0.0,300.0,37.0,13633.0,200.0,1997.0,14
MDRF,-0.055999999999999994,-0.5660000000000001,0.04,199.0,47.7,0.0,22.3,-139.5,0.013999999999999999,10.0,0.154,0.165,0.519,0.149,12337000000.0,148910000.0,1.0,-0.6,0.0,82.9,17.0,62727.0,2100.0,1965.0,14
MGLC,0.142,-0.165,0.131,339.9,115.7,0.0,0.2,28.4,0.011000000000000001,10.0,0.0,0.703,0.27399999999999997,0.011000000000000001,5928000000.0,26690000.0,10.7,7.8,0.522,222.1,7.0,22477.0,400.0,1976.0,14
MGRI,0.22399999999999998,-0.19399999999999998,-0.019,21.0,6.5,0.0,5.4,-13.2,0.002,2.0,0.0,0.33,0.5710000000000001,0.098,341000000.0,30420000.0,-309.7,-0.8,0.0,11.2,6.0,12669.0,2600.0,1972.0,14
MHRI,0.18100000000000002,-0.102,0.139,252.5,122.0,0.0,3.2,-11.2,0.036000000000000004,10.0,0.0,0.133,0.8270000000000001,0.005,16739000000.0,88780000.0,10.4,-16.8,0.0,188.6,22.0,13055.0,600.0,1996.0,14
MHSP,0.249,-0.09699999999999999,0.172,1105.0,592.9,0.0,1.6,96.5,0.113,10.0,0.0,0.157,0.61,0.11199999999999999,51738000000.0,63650000.0,6.3,8.4,0.0,812.9,47.0,23905.0,2700.0,1973.0,5
MHSS,0.244,0.214,-0.066,151.0,48.5,0.0,1.3,3.9,0.16699999999999998,1.0,0.281,0.12,0.375,0.057999999999999996,374765000000.0,3157240000.0,9.3,30.3,0.102,118.7,2.0,49643.0,8700.0,1983.0,10
MICE,-0.26899999999999996,-0.128,0.0,1.1,0.5,0.0,0.0,-2.2,0.0,2.0,0.0,0.912,0.08,0.0,70000000.0,102490000.0,-0.0,-0.3,0.544,0.7,30.0,43926.0,28900.0,1986.0,14
MICO,0.09300000000000001,0.013000000000000001,0.038,17136.6,7874.0,0.0,0.7,238.5,0.07200000000000001,10.0,0.7120000000000001,0.099,0.0,0.11699999999999999,440137000000.0,30520000.0,22.0,60.5,0.0,14421.3,2.0,25533.0,100.0,1951.0,10
MIDDY,0.243,-0.49700000000000005,0.22699999999999998,13.9,3.6,0.0,0.0,-2.8,0.027999999999999997,10.0,0.0,0.36200000000000004,0.61,0.001,431000000.0,65330000.0,12.8,-2.3,0.0,6.6,27.0,19080.0,900.0,2000.0,14
MIND,0.132,0.638,-0.005,1208.1,667.3,0.0,2.7,36.9,0.35600000000000004,10.0,0.019,0.374,0.146,0.105,197981000000.0,171160000.0,21.6,31.4,0.0,1156.7,42.0,51800.0,0.0,1999.0,6
MIRC,0.542,-0.07200000000000001,0.025,13.5,3.6,0.0,0.0,-0.6,0.048,1.0,0.0,0.395,0.551,0.006,1998000000.0,196230000.0,51.6,-17.4,0.0,10.2,13.0,61073.0,75900.0,1981.0,14
MJSW,0.593,0.313,0.271,149.0,55.0,0.0,2.7,11.5,0.003,2.0,0.26,0.337,0.39,0.01,6546000000.0,40000000.0,7.4,14.2,0.0,163.7,2.0,9908.0,26600.0,1985.0,14
MMFS,-0.055999999999999994,-0.33799999999999997,0.003,245.7,76.5,0.0,5.3,21.6,0.414,2.0,0.0,0.053,0.521,0.013000000000000001,75992000000.0,568800000.0,1.9,6.2,0.0,133.6,24.0,54174.0,14200.0,1991.0,5
MMLG,0.348,-0.478,0.179,72.0,12.7,0.0,2.8,13.4,0.557,2.0,0.0,0.094,0.336,0.013000000000000001,6892000000.0,190380000.0,0.8,2.7,0.0,36.2,24.0,13726.0,0.0,1988.0,14
MMTC,0.066,0.11,0.061,26.5,9.9,0.0,2.2,0.6,0.002,1.0,0.0,0.038,0.899,0.061,20150000000.0,1000000000.0,22.5,36.0,0.0,20.2,29.0,94547.0,7800.0,1963.0,14
MNDRA,0.133,-0.048,-0.02,429.0,203.4,0.0,0.6,18.3,0.239,2.0,0.064,0.055,0.498,0.14400000000000002,725558000000.0,2070949999.9999998,14.9,19.1,0.0,350.4,30.0,308354.0,1000.0,1988.0,2
MNGL,-0.01,0.24100000000000002,0.039,46.4,16.4,0.0,2.9,5.4,0.004,10.0,0.0,0.598,0.384,0.013999999999999999,4124000000.0,118520000.0,5.8,6.4,0.10400000000000001,34.8,19.0,58058.0,2300.0,1966.0,14
MNIT,0.384,0.327,0.272,20.3,8.0,0.0,0.0,-78.7,0.385,10.0,0.0,0.102,0.499,0.013000000000000001,1267000000.0,65830000.0,-0.0,-0.2,0.0,19.2,43.0,13060.0,153000.0,1995.0,14
MNOL,0.11800000000000001,0.051,0.061,3015.0,2000.8,0.0,0.5,78.8,0.145,5.0,0.0,0.293,0.561,0.001,31784000000.0,12660000.0,22.2,31.9,0.0,2510.6,15.0,7805.0,0.0,1998.0,5
MNPT,0.159,0.419,0.162,25.5,8.0,0.0,2.0,2.2,0.013000000000000001,5.0,0.0,0.5379999999999999,0.44799999999999995,0.001,4197000000.0,171990000.0,6.3,10.9,0.0,24.4,34.0,136086.0,41800.0,1900.0,14
MOIL,0.083,0.214,0.017,170.0,86.8,0.0,3.9,9.3,0.068,10.0,0.0,0.106,0.8,0.026000000000000002,40089000000.0,266370000.0,7.4,16.2,0.0,150.5,29.0,358337.0,1500.0,1962.0,5
MOLF,0.051,-0.595,0.065,137.7,30.8,0.0,0.0,-1.2,0.008,10.0,0.0,0.457,0.535,0.0,31591000000.0,599450000.0,-5.7,-44.2,0.237,52.7,0.0,141032.0,35300.0,1984.0,5
MOTIL,-0.037000000000000005,0.23,0.032,903.5,426.0,0.0,1.2,16.4,0.053,1.0,0.0,0.131,0.741,0.075,100688000000.0,145240000.0,32.0,42.3,0.0,693.3,30.0,11283.0,0.0,2006.0,5
MPRJ,0.0,-0.461,0.1,5.4,1.5,0.0,0.0,-3.6,0.005,1.0,0.0,0.368,0.589,0.038,195000000.0,73790000.0,-0.1,-0.7,0.0,2.6,12.0,13309.0,17000.0,1983.0,14
MRCO,0.048,-0.005,0.012,403.7,233.8,0.0,1.1,8.1,0.31,1.0,0.001,0.067,0.596,0.026000000000000002,483026000000.0,1289960000.0,52.7,46.3,0.0,374.5,14.0,37128.0,2300.0,1988.0,10
MRCR,0.151,-0.24600000000000002,-0.045,1.7,0.4,0.0,9.3,-25.2,0.162,1.0,0.0,0.42200000000000004,0.402,0.013999999999999999,262000000.0,244890000.0,0.1,-0.0,0.0,1.1,41.0,85358.0,31100.0,1983.0,14
MRF,-0.05,0.017,-0.006,73500.0,50000.0,0.0,0.1,3290.0,0.08800000000000001,10.0,0.005,0.547,0.268,0.094,253552000000.0,4240000.0,13.1,18.2,0.006,59800.0,48.0,28974.0,100.0,1960.0,13
MRGC,-0.011000000000000001,-0.081,0.031,13.0,5.7,0.0,0.0,-4.3,0.004,10.0,0.0,0.396,0.5429999999999999,0.057,281000000.0,38120000.0,-0.7,-1.7,0.92,7.4,12.0,18701.0,0.0,1994.0,14
MRJE,0.04,0.006,0.078,6.4,2.2,0.0,0.0,-23.4,0.14400000000000002,2.0,0.0,0.251,0.557,0.047,1315000000.0,279200000.0,-0.2,-0.2,0.20800000000000002,4.7,12.0,52242.0,42000.0,1871.0,14
MRPL,-0.038,-0.235,0.044000000000000004,56.6,21.3,0.0,8.7,-15.4,0.006,10.0,0.0,0.077,0.8859999999999999,0.031,60289000000.0,1752600000.0,2.2,-2.2,0.0,34.4,17.0,470683.0,300.0,1988.0,5
MTEL,0.053,-0.588,-0.006,35.3,6.2,0.0,0.0,4.5,0.23,10.0,0.0,0.325,0.428,0.017,553000000.0,39790000.0,2.0,3.1,0.051,13.9,27.0,11598.0,0.0,2006.0,14
MTNL,-0.04,0.7909999999999999,-0.013000000000000001,13.3,4.9,0.017,0.0,-60.7,0.009000000000000001,10.0,0.0,0.201,0.563,0.21100000000000002,5821000000.0,630000000.0,-0.2,-0.2,0.0,9.2,45.0,147288.0,2600.0,1986.0,14
MUKD,0.44299999999999995,-0.14400000000000002,0.126,39.2,12.0,0.0,0.0,-6.7,0.006,10.0,0.0,0.20800000000000002,0.7340000000000001,0.052000000000000005,4030000000.0,141410000.0,0.4,-4.3,0.39,28.5,43.0,44546.0,1300.0,1937.0,14
MUTFL,-0.059000000000000004,0.9640000000000001,-0.001,1405.0,477.5,0.0,1.0,60.1,0.157,10.0,0.0,0.059000000000000004,0.75,0.034,486577000000.0,397060000.0,12.8,20.4,0.0,1225.5,24.0,41514.0,15300.0,1997.0,10
MYCM,0.14300000000000002,0.057999999999999996,0.027999999999999997,217.8,120.0,0.0,2.0,11.8,0.048,10.0,0.6940000000000001,0.192,0.0,0.066,44857000000.0,226610000.0,13.9,16.7,0.0,198.0,7.0,50443.0,500.0,1958.0,5
MYUN,0.313,0.364,0.196,305.0,118.2,0.0,1.1,18.6,0.022000000000000002,5.0,0.0,0.22699999999999998,0.75,0.002,12712000000.0,43320000.0,11.8,15.8,0.0,293.5,47.0,5893.0,200.0,1992.0,14
MZTN,0.085,0.006999999999999999,0.11,71.8,27.4,0.0,1.6,4.4,0.0,2.0,0.011000000000000001,0.33899999999999997,0.649,0.001,5957000000.0,108310000.0,5.4,12.5,0.0,55.0,40.0,24086.0,17100.0,1979.0,14
NABF,0.36,-0.16899999999999998,0.231,95.2,32.4,0.0,2.3,24.2,0.301,2.0,0.0,0.256,0.441,0.002,11804000000.0,178570000.0,2.3,2.7,0.0,66.1,38.0,13678.0,26700.0,1972.0,14
NALCO,0.132,-0.063,0.055999999999999994,49.3,24.5,0.0,11.0,0.5,0.033,5.0,0.0,0.063,0.809,0.095,97162000000.0,2577240000.0,4.4,70.3,0.0,37.7,1.0,72305.0,31700.0,1981.0,5
NAUKRI,0.026000000000000002,0.7040000000000001,-0.01,3575.3,1580.0,0.0,0.2,17.2,0.29100000000000004,10.0,0.0,0.096,0.505,0.109,389560000000.0,119920000.0,42.1,189.4,0.0,3248.5,42.0,10996.0,200.0,1995.0,10
NAVN,0.045,-0.20600000000000002,0.022000000000000002,113.8,45.1,0.0,1.2,9.2,0.069,2.0,0.0,0.17800000000000002,0.618,0.135,19010000000.0,238230000.0,10.6,8.7,0.0,79.8,27.0,22954.0,500.0,1984.0,14
NCHP,-0.047,-0.225,-0.016,2001.2,608.0,0.0,1.6,83.1,0.266,2.0,0.0,0.165,0.529,0.04,320681000000.0,225540000.0,19.2,17.1,0.0,1421.9,35.0,93274.0,1900.0,1947.0,13
