,percent_monthly_change,percent_yearly_change,percent_change_week,52weekHigh,52weekLow,percent_ADR/GDR,percent_div_yeild,eps_ttm,FIIs,FV,percent_foreign_collaborators,percent_freefloat,percent_indian_promoters,percent_indian_inst_mutual_funds,market_cap,num_of_shares,P/CF,P/E,percent_pledged_promoter_holding,price,sector,shareholders,volume,incorporate_year,cluster
ASPN,0.16,0.242,0.081,1994.8,1431.9,0.0,0.6,24.0,0.18100000000000002,1.0,0.0,0.203,0.528,0.08800000000000001,1903580000000.0,959200000.0,54.3,82.8,0.138,1984.6,32.0,147143.0,6200.0,1945.0,4
ASTM,0.168,0.723,0.083,132.0,45.9,0.0,0.2,5.8,0.001,2.0,0.011000000000000001,0.584,0.17,0.23399999999999999,10417000000.0,81830000.0,25.8,22.0,0.0,127.3,6.0,31756.0,1300.0,1991.0,14
ASTRAL,0.281,0.193,0.127,1265.2,747.6,0.0,0.0,19.0,0.158,1.0,0.0,0.28800000000000003,0.546,0.008,140487000000.0,118370000.0,59.7,62.6,0.0,1186.9,37.0,6259.0,400.0,0.0,6
ATAO,0.113,-0.162,0.079,298.7,117.0,0.0,2.2,23.9,0.013999999999999999,5.0,0.0,0.435,0.551,0.0,4006000000.0,21940000.0,6.8,7.6,0.0,182.6,3.0,3555.0,4800.0,1992.0,14
ATCY,-0.077,0.226,0.016,90.1,27.8,0.0,0.0,-28.6,0.003,10.0,0.0,0.547,0.447,0.003,288000000.0,6500000.0,10.8,-1.5,0.0,44.3,3.0,9939.0,2600.0,1951.0,14
ATLT,-0.012,0.48100000000000004,0.003,11.6,2.6,0.0,3.3,-3.8,0.001,2.0,0.0,0.22,0.7490000000000001,0.03,733000000.0,81500000.0,-2.5,-2.4,0.06,9.0,6.0,15236.0,8800.0,1984.0,14
ATUL,0.196,0.677,0.121,5859.1,3256.6,0.0,0.3,215.8,0.015,10.0,0.0,0.41700000000000004,0.506,0.063,174697000000.0,29660000.0,31.8,27.3,0.028999999999999998,5890.0,9.0,29094.0,800.0,1947.0,6
AUAX,0.406,-0.08800000000000001,0.165,1018.5,335.7,0.0,2.7,27.4,0.001,10.0,0.355,0.16399999999999998,0.355,0.125,10997000000.0,15000000.0,6.6,26.7,0.0,733.2,2.0,8280.0,100.0,1981.0,14
AUBD,0.09,0.494,0.023,967.6,281.2,0.0,0.3,48.6,0.27699999999999997,1.0,0.0,0.102,0.541,0.08,516997000000.0,585170000.0,17.1,18.2,0.086,883.5,35.0,69601.0,66200.0,1986.0,10
AUCG,0.207,-0.191,0.14300000000000002,605.0,227.3,0.0,4.5,15.5,0.0,10.0,0.0,0.465,0.535,0.0,2479000000.0,6420000.0,9.5,24.9,0.0,386.0,2.0,12148.0,900.0,1982.0,14
AUTOL,0.375,-0.084,-0.141,46.0,9.2,0.0,0.0,-10.7,0.031,10.0,0.0,0.687,0.281,0.002,384000000.0,12340000.0,-1.3,-2.9,0.38,31.2,2.0,17100.0,1700.0,1996.0,14
AVFD,0.157,0.82,0.087,769.9,250.0,0.0,0.1,28.3,0.032,10.0,0.0,0.0,0.442,0.027999999999999997,71143000000.0,136250000.0,20.8,18.4,0.0,522.2,5.0,8560.0,1200.0,1993.0,5
BAAN,0.048,0.22399999999999998,0.017,1600.0,636.1,0.0,0.8,76.3,0.002,10.0,0.0,0.451,0.547,0.0,16580000000.0,12540000.0,11.6,17.3,0.0,1322.2,44.0,8486.0,200.0,1983.0,14
BABS,-0.21600000000000003,-0.08800000000000001,0.087,920.0,460.1,0.0,0.4,-5.4,0.012,10.0,0.75,0.14,0.0,0.099,9660000000.0,17590000.0,66.8,-101.4,0.0,549.2,17.0,8610.0,0.0,1973.0,14
BAFIN,0.025,-0.106,0.025,10297.0,3985.6,0.0,0.0,376.6,0.09,5.0,0.0,0.254,0.589,0.067,1022593000000.0,159120000.0,23.0,17.1,0.0,6426.6,15.0,46681.0,800.0,2007.0,3
BAJAU,0.011000000000000001,0.10300000000000001,-0.03,3315.0,1793.1,0.0,4.0,152.0,0.15,10.0,0.0,0.251,0.49200000000000005,0.106,873897000000.0,289370000.0,16.0,19.9,0.001,3020.0,3.0,78518.0,1400.0,1945.0,3
BAJCL,0.073,-0.289,0.009000000000000001,270.9,117.5,0.0,7.7,12.6,0.245,1.0,0.0,0.071,0.669,0.016,26653000000.0,147500000.0,11.7,14.3,0.0,180.7,14.0,19219.0,2100.0,2006.0,14
BALAJI,-0.048,0.738,-0.013000000000000001,101.7,28.0,0.0,0.5,-6.6,0.006,2.0,0.0,0.5589999999999999,0.429,0.006999999999999999,8586000000.0,101130000.0,-10.8,-12.8,0.0,84.9,27.0,21501.0,200.0,2000.0,14
BALW,0.062,0.07400000000000001,0.075,141.3,69.9,0.0,5.4,10.4,0.032,10.0,0.0,0.856,0.0,0.11199999999999999,20948000000.0,171000000.0,10.9,11.8,0.0,122.5,15.0,24504.0,7200.0,1924.0,14
BART,-0.033,-0.021,0.009000000000000001,3.8,0.6,0.0,0.0,-12.0,0.0,10.0,0.0,0.8440000000000001,0.125,0.031,79000000.0,34050000.0,-0.2,-0.2,0.162,2.3,42.0,50611.0,13900.0,1990.0,14
BASF,0.222,0.573,0.278,1870.0,795.0,0.0,0.3,-4.4,0.009000000000000001,10.0,0.733,0.196,0.0,0.062,70909000000.0,43290000.0,31.0,-376.4,0.0,1638.0,9.0,39482.0,1900.0,1943.0,5
BASX,0.094,0.192,0.075,148.5,59.0,0.0,1.5,39.6,0.128,10.0,0.0,0.294,0.5770000000000001,0.0,1161000000.0,16450000.0,1.8,1.8,0.0,70.6,47.0,8682.0,30600.0,1976.0,14
BATA,0.032,-0.098,0.069,1897.0,1017.2,0.0,0.3,9.7,0.201,10.0,0.53,0.171,0.0,0.098,171063000000.0,128530000.0,27.4,136.8,0.0,1331.0,14.0,83621.0,3200.0,1931.0,6
BAYR,0.05,0.955,-0.003,6449.0,2980.8,0.0,0.3,172.1,0.08199999999999999,10.0,0.466,0.11599999999999999,0.22399999999999998,0.11199999999999999,207657000000.0,34330000.0,76.4,35.1,0.0,6048.9,9.0,19963.0,200.0,1958.0,6
BCORP,0.08800000000000001,0.113,0.034,807.6,372.5,0.0,1.2,65.6,0.013999999999999999,10.0,0.0,0.187,0.629,0.17,46954000000.0,77010000.0,7.9,9.3,0.0,609.8,7.0,22370.0,600.0,1919.0,5
BDYN,0.068,0.001,0.009000000000000001,101.8,36.2,0.013999999999999999,1.4,8.3,0.07,2.0,0.076,0.282,0.447,0.111,14397000000.0,206550000.0,22.4,8.4,0.043,69.7,47.0,99179.0,21000.0,1879.0,14
BEML,0.087,-0.028999999999999998,0.016,1108.2,369.6,0.0,1.1,7.8,0.035,10.0,0.0,0.18899999999999997,0.54,0.23600000000000002,30507000000.0,41900000.0,15.6,93.9,0.0,728.1,6.0,67922.0,5900.0,1964.0,5
BERC,0.29100000000000004,0.41100000000000003,0.129,89.7,24.6,0.0,1.5,0.3,0.0,10.0,0.275,0.337,0.389,0.0,1977000000.0,30000000.0,8.2,194.4,0.063,65.9,46.0,28696.0,13000.0,1992.0,14
BFL,0.07400000000000001,0.218,-0.009000000000000001,1231.7,612.1,0.0,2.0,56.4,0.262,10.0,0.605,0.086,0.0,0.047,252431000000.0,210140000.0,22.0,21.3,0.0,1201.3,42.0,29984.0,200.0,1992.0,13
BFRG,0.305,0.285,0.009000000000000001,533.1,207.9,0.0,1.0,10.2,0.13699999999999998,2.0,0.0,0.22699999999999998,0.467,0.16899999999999998,233516000000.0,465590000.0,14.9,49.3,0.0,501.6,2.0,51211.0,4600.0,1961.0,13
BFUL,0.157,0.763,0.13,361.0,134.4,0.0,0.0,5.3,0.01,5.0,0.0,0.32799999999999996,0.6559999999999999,0.006,10280000000.0,37670000.0,10.5,51.6,0.075,272.9,38.0,37985.0,2500.0,2001.0,14
BGRE,0.08199999999999999,0.22899999999999998,0.028999999999999998,65.1,19.0,0.0,0.0,3.1,0.023,10.0,0.0,0.203,0.75,0.024,3099000000.0,72160000.0,7.2,14.0,0.0,43.0,17.0,109280.0,500.0,0.0,14
BHBJ,0.121,-0.028999999999999998,-0.026000000000000002,992.7,370.1,0.0,1.5,71.0,0.003,10.0,0.0,0.447,0.358,0.193,4862000000.0,5650000.0,9.7,12.1,0.0,860.5,6.0,19756.0,3400.0,1946.0,14
BHEC,0.125,0.126,0.038,122.2,56.1,0.0,0.1,7.4,0.019,1.0,0.0,0.054000000000000006,0.75,0.17800000000000002,280208000000.0,2436590000.0,12.8,15.6,0.0,115.0,6.0,25439.0,25500.0,1954.0,13
BHEL,0.10400000000000001,-0.184,0.1,61.3,19.2,0.0,9.8,-4.0,0.159,2.0,0.0,0.044000000000000004,0.631,0.166,149550000000.0,3669930000.0,9.0,-10.2,0.0,40.8,6.0,390318.0,230300.0,1964.0,6
BHIL,0.011000000000000001,-0.193,-0.009000000000000001,295.8,121.3,0.0,7.6,9.2,0.11699999999999999,10.0,0.0,0.073,0.794,0.017,366130000000.0,1849610000.0,14.2,21.6,0.0,198.0,45.0,27584.0,16200.0,2006.0,10
BHSN,0.198,0.207,0.013999999999999999,32.6,15.3,0.0,0.0,-62.7,0.015,2.0,0.0,0.313,0.63,0.042,5754000000.0,226520000.0,0.2,-0.4,0.6990000000000001,25.4,43.0,40228.0,2100.0,1983.0,14
BICN,-0.052000000000000005,0.773,0.006,455.0,212.4,0.0,0.3,13.1,0.107,5.0,0.20600000000000002,0.19899999999999998,0.40399999999999997,0.084,236160000000.0,600000000.0,16.3,30.0,0.0,393.6,35.0,109995.0,7100.0,1978.0,13
BIIN,0.078,2.7680000000000002,0.207,61.5,12.3,0.09,0.0,-42.0,0.0,10.0,0.0,0.605,0.303,0.002,1265000000.0,23550000.0,4.7,-1.3,0.025,53.7,31.0,21287.0,1500.0,1900.0,14
BILT,-0.171,1.6769999999999998,-0.233,3.1,0.3,0.0,0.0,-16.9,0.16899999999999998,2.0,0.0,0.19399999999999998,0.494,0.14300000000000002,1141000000.0,655520000.0,-0.2,-0.1,0.218,1.7,33.0,82669.0,402500.0,1945.0,14
BJEL,0.175,0.355,-0.003,491.2,260.0,0.0,0.7,-0.0,0.163,2.0,0.0,0.14,0.659,0.039,48663000000.0,100700000.0,24.3,-37433.3,0.0,483.3,13.0,17979.0,800.0,1956.0,5
BJFN,0.083,0.059000000000000004,0.04,4923.2,1783.1,0.0,0.1,87.5,0.122,10.0,0.0,0.191,0.616,0.071,2118397000000.0,601690000.0,38.1,40.2,0.0,3520.8,30.0,19952.0,13300.0,1987.0,4
BJHN,0.059000000000000004,0.20199999999999999,0.064,8.4,2.3,0.0,0.0,-1.6,0.028999999999999998,1.0,0.0,0.366,0.461,0.14300000000000002,4028000000.0,639390000.0,6.0,-3.8,0.0,6.3,44.0,145891.0,52700.0,1931.0,14
BJTM,0.204,-0.131,0.158,1502.0,580.0,0.0,0.9,44.2,0.057999999999999996,10.0,0.0,0.341,0.594,0.006999999999999999,14407000000.0,13180000.0,4.8,24.8,0.0,1093.1,3.0,18200.0,100.0,1958.0,14
BKMAH,0.172,0.20199999999999999,0.205,15.2,7.7,0.0,0.0,3.7,0.005,10.0,0.0,0.073,0.852,0.071,15416000000.0,1063180000.0000001,-0.9,4.0,0.0,14.5,4.0,185345.0,69500.0,1935.0,14
BLDE,-0.062,-0.075,0.105,3068.0,1860.0,0.0,0.6,-16.1,0.07400000000000001,10.0,0.75,0.115,0.0,0.061,49477000000.0,23730000.0,22.7,-129.2,0.0,2085.0,26.0,5741.0,0.0,1991.0,5
BLKH,0.08199999999999999,0.8270000000000001,0.040999999999999995,1414.0,677.6,0.0,0.6,48.9,0.142,2.0,0.0,0.11599999999999999,0.583,0.159,262842000000.0,193320000.0,25.1,27.8,0.0,1359.7,48.0,17335.0,2300.0,1961.0,13
BLKS,0.203,-0.258,0.175,12.1,3.4,0.0,0.0,-1.2,0.061,5.0,0.0,0.193,0.711,0.034,1448000000.0,205440000.0,3.9,-6.0,0.605,7.1,12.0,25985.0,0.0,1989.0,14
BNDN,-0.131,-0.369,0.033,650.0,152.4,0.0,0.6,14.5,0.0,10.0,0.0,0.0,0.0,0.0,567528000000.0,1912800000.0,15.1,20.5,0.0,296.7,4.0,0.0,23700.0,0.0,2
